8.32;Ethyl tetradecanoate
8.57;Ethyl tetradecenoate
11.56;Ethyl hexadecanoate
11.7;Ethyl hexadecenoate, maybe Z9
15.29;Ethyl octadecenoate
16.02;5Me-C23
16.5;3Me-C23
17.06;C24
17.49;3,7,11-triMe-C23
17.6;Mixture
17.8;6Me-C24
18.06;4Me-C24
18.29;Mixture
18.57;2,8 + 2,10 + 2,12-DiMe-C24
18.97;C25
19.23;?
19.47;9Me, 11Me, 13Me-C25
19.6;7Me-C25
19.79;5Me-C25
20.03;7,11-DiMe-C25 + ?
20.28;3Me-C25
20.8;Mixture
21.27;12Me,13Me-C26
21.31;10Me-C26
21.76;2Me-C26
22.22;Mixture
22.62;C27
23.87;3Me-C27
24.36;C28
26.1;C29
27.29;2Me-C29
